 ID,        Phase Count   ,Animation Name,Monster Name,Lock On Bone,Left Weapon,Left Bone,Right Weapon,Right Bone,IsFace,Naytiba Type,AI_Type,Model ProtoTypeName ,Controller ProtoType Name,Behavior ProtoType Name, Max Health,Max Shield,Max Stemina,Move Speed,Attack CoolTime,Attack Range,LerpRatio,Col Extents,Skill Count,Skills
1,1,M_Gorilla,Gigas,None,None,None,None,None,None,2,1,Prototype_Component_Model_Gorilla,Prototype_Component_BossController,Prototype_Component_GorillaBehaviorTree,1000,500,2,5,5,11,0.12,"8, 8, 8",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
2,1,M_Beholder,Beholder,Bip001-Head,None,None,None,None,None,1,1,Prototype_Component_Model_Beholder,Prototype_GameObject_MonsterController,None,200,100,3,5,4,6,0.12,"3, 3.4, 3",3,"511, 512, 513"
3,1,M_BarnacleA,Barnacle,Bip001-Head,None,None,None,None,None,1,2,Prototype_Component_Model_BanacleA,Prototype_GameObject_MonsterController,None,200,100,3,5,3,4,0.12,"1.6, 2.7, 1.6",4,"541, 542, 543, 544"
4,1,M_StatueA,Statue,Bip001-Head,None,None,None,None,None,1,0,Prototype_Component_Model_StatueA,Prototype_GameObject_MonsterMimesisController,None,200,100,3,5,3,4,0.12,"1.6, 3.2, 1.6",5,"521, 522, 523, 524, 525"
5,1,M_StatueB,Statue,Bip001-Head,None,None,None,None,None,1,0,Prototype_Component_Model_StatueB,Prototype_GameObject_MonsterMimesisController,None,200,100,3,5,3,4,0.12,"1.6, 3.2, 1.6",6,"531, 532, 533, 534, 535, 536"
6,1,M_SunFlower,SunFlower,Head,None,None,None,None,None,1,1,Prototype_Component_Model_SunFlower,Prototype_GameObject_MonsterController,None,200,100,3,3,3,4,0.3,"1.7, 3.2, 1.7",3,"631, 632, 633"
7,1,M_Antlion,Antlion,Bip001-Head,None,None,None,None,None,0,1,Prototype_Component_Model_Minion11,Prototype_GameObject_MonsterController,None,50,50,1,5,3,4,0.12,"1.6, 1.6, 1.6",2,"731, 732"
8,2,M_Scarlet,Scarlet,None,Prototype_Component_Model_Scarlet_Weapon,Weapon,Prototype_Component_Model_Scarlet_Scabbard,SC_AssistWeapon,../Json,2,1,Prototype_Component_Model_Scarlet_Body,Prototype_Component_BossController,Prototype_Component_ScarletBehaviorTree,1000,50,1,5,3,4,0.12,"3, 3, 3",31,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 52, 54"
9,1,M_Tentacle,Tentacle,Skin_Tentacle11,None,None,None,None,None,0,0,Prototype_Component_Model_Tentacle,Prototype_GameObject_MonsterMimesisController,None,70,50,1,0,3,7,0.12,"1, 2.7, 1",3,"741, 742, 743"
10,1,M_DroidTurret,DroidTurret,GunBody_HoseB1,None,None,None,None,None,1,1,Prototype_Component_Model_DroidTurret,Prototype_GameObject_MonsterController,None,220,50,4,5,3,20,0.12,"3, 3, 3",1,751
