Type,Dir,SpawnRatio
0,3,4
0,1,6
0,0,8
0,3,10
0,1,12
0,0,14
0,5,16
0,4,17
0,2,18
0,4,19
0,3,20
0,1,22
0,0,24
0,3,26
0,1,28
0,0,30
0,5,32
0,4,33
0,2,34
0,4,35
0,3,36
0,3,38
0,1,40
0,1,42
0,0,44
0,0,46
0,1,48
0,1,50
0,2,52
0,2,54
0,4,56
0,4,58
0,5,60
0,5,62
0,4,64
0,4,66
0,3,68
0,0,72
0,5,76
0,2,80
0,3,84
0,0,88
0,5,92
0,2,96
0,0,100
0,3,104
0,2,108
0,5,112
0,0,116
0,3,120
0,2,124
0,3,134
0,0,138
0,1,142
0,4,144
0,2,145
0,4,146
0,2,147
0,1,148
0,0,152
0,3,156
0,2,160
0,4,161
0,5,162
0,4,163
0,3,164
0,0,168
0,1,172
0,4,176
0,2,177
0,4,178
0,2,179
0,1,180
0,0,184
0,3,188
0,2,192
0,4,193
0,5,194
0,2,196
0,4,200
0,5,204
0,3,208
0,1,210
0,4,212
0,5,216
0,2,220
0,1,224
0,2,228
0,4,232
0,5,236
0,3,240
0,1,242
0,4,244
0,5,248
0,2,252
0,1,256
0,3,260
0,1,262
0,0,264
0,2,266
0,4,267
0,5,268
0,0,269
0,1,270
0,3,271
0,1,272
0,3,276
0,1,277
0,3,278
0,0,280
0,1,281
0,0,282
0,4,284
0,2,285
0,4,286
0,5,287
0,4,288
0,3,292
0,1,296
0,0,300
0,1,304
0,3,308
0,1,309
0,3,310
0,0,312
0,1,313
0,0,314
0,4,316
0,2,317
0,4,318
0,5,319
0,4,320
0,3,324
0,1,328
0,0,332
0,1,336
0,2,340
0,4,341
0,2,342
0,5,344
0,4,345
0,5,346
0,1,348
0,3,349
0,1,350
0,0,351
0,1,352
0,2,356
0,4,360
0,5,364
0,2,368
0,1,372
0,2,373
0,1,374
0,4,376
0,3,377
0,4,378
0,3,380
0,3,381
0,0,382
0,0,383
0,1,384
0,2,386
0,2,388
0,4,389
0,5,390
0,4,391
0,2,392
0,3,394
0,3,396
0,1,397
0,0,398
0,1,399
0,3,400
0,2,404
0,4,408
0,5,412
0,4,416
0,3,420
0,1,424
0,0,428
0,1,432
0,2,436
0,2,438
0,4,440
0,4,442
0,5,444
0,5,446
0,4,448
0,4,450
0,3,452
0,3,454
0,1,456
0,1,458
0,0,460
0,1,462
0,3,463
0,1,464
