¤¸,Anim Name,Hit Reaction Anim,Attach Bone,Damage,Range,Hit Box Size,Combo,RePulse Count,Dir,Skill Type  ,Properity
1,M_Gorilla_S22_RightAttack,None,None,20,7,"4,3,7",1,0,1,0,9
2,M_Gorilla_S12_Crush,None,None,20,2,"9,8,9",1,0,4,3,139
3,M_Gorilla_S13_RightSwing,None,None,20,7,"4,3,4",2,0,1,0,9
4,M_Gorilla_S14_LeftBlowCombo,None,None,20,7,"4,3,7",3,0,3,2,9
5,M_Gorilla_S15_FowardMoveBlow,None,None,20,7,"4,3,7",3,0,1,2,9
6,M_Gorilla_S07_ZigzagMoveAttack,None,None,20,7,"4,3,7",2,0,1,2,9
7,M_Gorilla_S01_ShortMoveLeft,None,None,20,12,"4,3,4",0,0,0,5,9
8,M_Gorilla_S02_ShortMoveRight,None,None,20,12,"4,3,4",0,0,0,5,9
9,M_Gorilla_S03_StraightAttack,None,None,20,7,"4,3,7",1,0,0,0,9
10,M_Gorilla_S06_BlowMoveBack,None,None,20,7,"4,3,7",1,0,4,3,10
11,M_Gorilla_S09_LeftSwingUpperCombo,None,None,20,7,"4,3,4",4,0,1,2,9
12,M_Gorilla_S10_SawSpinAttack,None,None,20,2,"9,8,9",1,0,4,4,138
13,M_Gorilla_S18_BloodExplosion,None,None,20,30,"2,2,2",0,0,5,3,9
14,M_Gorilla_S21_SkillGetUp,None,None,0,0,"0,0,0",0,0,1,5,136
20,M_Scarlet_AirDashCut,None,None,20,15,"1, 1, 2",0,0,1,4,137
21,M_Scarlet_SwingApproach,None,None,20,15,"1, 1, 2",4,0,1,0,9
22,M_Scarlet_SwingCombo1,None,None,20,15,"1, 1, 2",0,0,1,3,8
23,M_Scarlet_SwingCombo2,None,None,20,15,"1, 1, 2",5,0,1,0,9
24,M_Scarlet_Swing,None,None,20,15,"1, 1, 2",0,0,1,0,9
25,M_Scarlet_SwingFast,None,None,20,15,"1, 1, 2",0,0,1,0,9
26,M_Scarlet_SwingTriple,None,None,20,15,"1, 1, 2",3,0,1,0,9
27,M_Scarlet_Airspin,None,None,20,15,"1, 1, 2",9,0,1,0,8
28,M_Scarlet_MoveBackShot2,None,None,20,15,"1, 1, 2",3,0,1,0,9
29,M_Scarlet_JumpStampSlash,None,None,20,15,"1, 1, 2",0,0,1,0,9
30,M_Scarlet_KickStamp,None,None,20,15,"1, 1, 2",0,0,1,0,9
31,M_Scarlet_ParryRangeDash,None,None,20,15,"1, 1, 2",0,0,1,0,9
32,M_Scarlet_BackDashSpaceCut,None,None,20,15,"1, 1, 2",5,0,1,0,9
33,M_Scarlet_BlinkCut,None,None,20,15,"1, 1, 2",0,0,1,0,9
34,M_Scarlet_PhaseChange1L_Attack1,None,None,20,15,"1, 1, 2",0,0,1,4,9
35,M_Scarlet_PhaseChange1L_Attack2,None,None,20,15,"1, 1, 2",0,0,1,4,9
36,M_Scarlet_PhaseChange1L_Attack3,None,None,20,15,"1, 1, 2",0,0,1,4,9
37,M_Scarlet_PhaseChange1L_Attack4,None,None,20,15,"1, 1, 2",0,0,1,4,9
38,M_Scarlet_BlinkShot1,None,None,20,15,"1, 1, 2",0,0,1,5,9
39,M_Scarlet_BlinkShot2,None,None,20,15,"1, 1, 2",0,0,1,5,9
40,M_Scarlet_GroggyCounter,None,None,20,15,"1, 1, 2",0,0,1,5,9
41,M_Scarlet_CounterMoveAttack,None,None,20,15,"1, 1, 2",0,0,1,5,9
42,M_Scarlet_LinkBreakChanceAttack,Hit_Scarlet_LinkBreakChanceAttackHit,SC_LinkTarget,0,15,"1, 1, 2",0,0,1,4,9
43,M_Scarlet_LinkBreakChanceAttackHit,None,None,20,15,"1, 1, 2",0,0,1,4,9
44,M_Scarlet_AirDashSpaceCut,None,None,20,15,"1, 1, 2",0,0,1,5,9
45,M_Scarlet_BlinkCombo1,None,None,20,15,"1, 1, 2",0,0,1,5,9
46,M_Scarlet_BlinkCombo2,None,None,20,15,"1, 1, 2",0,0,1,4,9
47,M_Scarlet_PhaseChange1E_ShieldZeroFail,None,None,20,15,"1, 1, 2",0,0,1,4,9
48,M_Scarlet_MoveBack,None,None,0,0,"0,0,0",0,0,1,4,9
49,M_Scarlet_MoveSideL,None,None,0,0,"0,0,0",0,0,1,4,9
50,M_Scarlet_MoveSideR,None,None,0,0,"0,0,0",0,0,1,4,9
51,M_Scarlet_PhaseChange2_Attack,None,None,20,10,"1, 1, 2",0,0,1,4,9
52,M_Scarlet_Stinger,None,None,20,10,"1, 1, 2",5,0,1,0,9
53,M_Scarlet_AreaCombo,None,None,20,10,"1, 1, 2",5,0,1,0,9
54,M_Scarlet_AreaSlash,None,None,20,10,"2, 5, 10",5,0,1,0,9
55,M_Scarlet_AreaSlash2,None,None,20,10,"2, 5, 10",5,2,1,0,9
56,M_Scarlet_PhaseChange1S,None,None,0,0,"2, 5, 11",6,3,2,4,136
57,M_Scarlet_PhaseChange1E_ShieldZeroSucess,None,None,0,0,"2, 5, 11",6,3,2,4,9
511,M_Beholder_SwingDouble,None,None,13,12,"1,1,7",2,0,4,0,9
512,M_Beholder_Swing,None,None,13,12,"1,1,7",1,0,4,0,9
513,M_Beholder_SpinSwing,None,None,13,12,"1,1,7",1,0,4,0,9
521,M_StatueA_Grab,None,None,10,15,"1,1,2",1,0,4,1,9
